,title,subtitle,link
0,ZIN THE BAG,Arsenal finally CONFIRM £30m Zinchenko move as Ukrainian signs long-term deal,https://www.thesun.co.uk/sport/19289445/arsenal-confirm-oleksandr-zinchenko-transfer-man-city-signs/
1,JESUS RAVES,Jesus impressed by 'animal' Martinelli as Arsenal target Premier League title,https://www.thesun.co.uk/sport/19288607/jesus-praises-martinelli-arsenal-target-title/
2,RON RETURN,"Wantaway Man Utd star Ronaldo WILL return to Sporting Lisbon, claims coach",https://www.thesun.co.uk/sport/football/19288215/mna-utd-cristiano-ronaldo-sporting-transfer-return/
3,TEN OUT OF TEN,Bruno praises Ten Hag’s tactics and reveals why he’ll have a strong season,https://www.thesun.co.uk/sport/football/19288611/bruno-fernandes-ten-hag-man-utd/
4,LOOKING GOOD,Rhian Sugden shows off football knowledge & wants to take YOU on in Dream Team,https://www.thesun.co.uk/dream-team/fantasy-football/19273873/rhian-sugden-football-knowledge-dream-team/
5,JACK THE LAD,Watch Haaland's birthday speech egged on by Man city team-mate Jack Grealish,https://www.thesun.co.uk/sport/football/19283863/watch-erling-haaland-man-city-birthday-speech-jack-grealish/
6,JUST NOTT ON,Fuming West Ham fans plan to throw fake money at Lingard in protest,https://www.thesun.co.uk/sport/football/19287329/fuming-west-ham-fans-fake-money-jesse-lingard/
7,DE-MANDING MORE,De Gea sick of winning Man Utd POTY awards as he tells strikers to step up,https://www.thesun.co.uk/sport/19286965/de-gea-tells-strikers-to-step-up/
8,'RIP MR CHAIRMAN',Tributes pour in after ex-Liverpool owner David Moores dies aged 76,https://www.thesun.co.uk/sport/19287925/david-moores-dead-liverpool-chairman-owner/
9,STOKE OF GENIUS,O'Shea lands job at Stoke as Man Utd legend takes step into management,https://www.thesun.co.uk/sport/19288463/manchester-united-john-oshea-stoke-news/
10,THE SPECIAL ONE,Watch awkward moment Roma fan proposes to partner in front of Mourinho,https://www.thesun.co.uk/sport/19288013/fan-proposal-roma-jose-mourinho/
11,BEL OF A DEAL,"Newcastle, West Ham & Everton offered Euro 2020 winner Andrea Belotti on free",https://www.thesun.co.uk/sport/19283950/newcastle-west-ham-everton-andrea-belotti-free-transfer/
12,CED AND DONE,Cedric Soares backs 'intelligent' new Arsenal star Fabio Vieira to succeed,https://www.thesun.co.uk/sport/19287829/cedric-backs-new-arsenal-signing-vieira/
