,title,subtitle,link
47,SCOTT SPEAKS OUT,I've put on an act for my whole life & turned to drink after being trolled,https://www.thesun.co.uk/sport/19196118/alex-scott-mental-health-battle-alcohol/
48,GIFT OF THE GAB,Gabby Logan reacts after Alan Sugar complains about Women's Euros coverage,https://www.thesun.co.uk/sport/19150768/gabby-logan-alan-sugar-bbc-womens-euros/
49,THREE HEARTS,Lionel Messi's stunning wife Antonela shows off underboob in yoga gear,https://www.thesun.co.uk/sport/19273424/lionel-messi-antonela-roccuzzo-paris-saint-germain/
50,INSTA-GLAM,"PL's most popular Wags revealed including Georgina, Perrie Edwards and Vardy",https://www.thesun.co.uk/sport/football/19169362/premier-league-most-popular-wags-instagram/
51,PRETTY IN PINK,Wanda Nara sends fans wild as she shows off bum in tiny bikini on the beach,https://www.thesun.co.uk/sport/19236842/wanda-nara-bikini-holiday-ibiza/
52,MARK IRWIN,Leicester heading to mid-table with Foxes not backing Rodgers,https://www.thesun.co.uk/sport/football/19277710/leicester-rodgers-man-city/
53,TIM VICKERY,"Barça's history of Brazilians continues with Raphinha, after Coutinho & Ronaldo",https://www.thesun.co.uk/sport/19250038/barcelona-brazil-raphinha-ronaldo-coutinho/
54,DAVE KIDD,Tottenham finally ready to shed 'Spursy' tag as Conte brings in quality early,https://www.thesun.co.uk/sport/19165277/tottenham-shed-spursy-tag-antonio-conte-transfer/
55,JACK THE LAD,Watch Jack Grealish prank Bernardo Silva leaving Man City team-mate fuming,https://www.thesun.co.uk/sport/football/19277342/jack-grealish-instagram-bernardo-silva-teletubby/
56,FERGIE TIME,David and Victoria Beckham bump into Sarah Ferguson during holiday to Italy,https://www.thesun.co.uk/sport/19253683/david-beckham-fergie-italy-amalfi-coast/
57,MEAN-UEL NEUER,I drove 75 miles to return Manuel Neuer's wallet.. he didn't even thank me,https://www.thesun.co.uk/sport/football/19270854/manuel-neuer-wallet-taxi-driver-bayern-munich/
58,TAKING THE MIK,Inside Arteta’s US camp as Smith Rowe reveals bowling trash talk with boss,https://www.thesun.co.uk/sport/football/19255096/arsenal-mikel-arteta-pre-season-emile-smith-rowe/
59,ALL IN,Halifax's Jamie Allen quits pre-season for Love Island DAYS after signing new deal,https://www.thesun.co.uk/sport/19262998/halifax-jamie-allen-love-island-contract/
